Date,Amount,Category,Description
2025-04-01,1200.00,Housing,Monthly Rent
2025-04-02,150.00,Utilities,Electricity Bill
2025-04-03,75.50,Groceries,Weekly Grocery Shopping
2025-04-05,45.00,Dining,Dinner at Restaurant
2025-04-07,35.00,Transportation,Gas
2025-04-10,120.00,Shopping,Clothing Purchase
2025-04-12,200.00,Education,Online Course
2025-04-15,80.00,Healthcare,Doctor's Visit
2025-04-18,25.00,Entertainment,Movie Tickets
2025-04-20,60.00,Personal Care,Haircut
2025-04-22,15.00,Subscriptions,Streaming Service
2025-04-25,300.00,Transportation,Car Payment
2025-04-28,50.00,Gifts,Birthday Present
2025-04-30,100.00,Travel,Weekend Trip
